0:00:20.675831,0:00:40.324654,0:01:00.037080,0:01:20.076407,0:01:39.396095,0:01:59.821166,0:02:19.207356,0:02:39.662297,0:02:59.119312,0:03:19.016533,0:03:39.068658,0:03:58.288693,0:04:18.771100,0:04:38.119899,0:04:58.649209,0:05:17.984459,0:05:37.725510,0:05:57.746976,0:06:17.196339,0:06:37.653804,0:06:57.017520,0:07:17.636609,0:07:37.076798,0:07:57.051182,0:08:17.087821,0:08:36.933270,0:08:57.501477,0:09:17.176495,0:09:37.667319,0:09:57.045595,0:10:17.677437,0:10:37.040628,0:10:56.969877,0:11:16.974322,0:11:36.385325,0:11:56.937408,0:12:16.298959,0:12:36.802314,0:12:56.187843,0:13:16.293697,0:13:35.948020,0:13:55.277511,0:14:15.771371,0:14:35.099570,0:14:55.561424,0:15:14.923534,0:15:35.197864,0:15:54.917969,0:16:14.430199,0:16:34.741084
-1554.3595401002958,-1343.8541549176123,-1297.4666717819373,-1754.536898893276,-1731.797537472537,-1446.8798565134687,-1546.8902294906463,-1642.6678519255174,-1124.6601948072353,-1060.0528994153517,-1501.0768396717604,-953.0974043441207,-902.052216590347,-696.1770583805134,-1123.6081059431672,-657.3268168930787,-489.7736399672477,-426.8982229341128,-271.5049044191883,-124.55919886913235,-253.27381585061275,-130.38790119117778,-1.6014231201437266,-357.4589657121547,-242.58014912645092,-0.4769931099697702,-123.16640535709774,-236.10652656080387,-1.9931660651297434,-254.87259885201746,-124.28530755729444,-377.3432558227196,-366.60756079752963,-122.32213585776627,-243.8222387095989,-117.75576457543146,-256.40160634714573,-241.0445941109017,-121.81641195905662,-127.23232522670048,-380.8315825987348,-1.8386649498594259,-130.32508061183194,-1.3492201213806596,-0.7628176697308011,-122.83627456208964,-252.96962934677273,-123.03956887825524,-124.74167645875735,-121.74130450793014
0:00:19.491574,0:00:40.207793,0:00:59.660896,0:01:20.184111,0:01:39.985411,0:02:00.280358,0:02:20.294326,0:02:40.058911,0:03:00.476947,0:03:19.924337,0:03:40.614267,0:04:00.092225,0:04:20.833130,0:04:40.435365,0:05:00.551947,0:05:20.456834,0:05:40.118798,0:06:00.647219,0:06:20.101639,0:06:40.723984,0:07:00.203794,0:07:20.703309,0:07:40.314264,0:08:00.318939,0:08:20.382205,0:08:39.969290,0:09:00.699761,0:09:20.193926,0:09:41.003069,0:10:00.601174,0:10:21.177157,0:10:40.752135,0:11:00.896747,0:11:20.772035,0:11:40.356031,0:12:00.841844,0:12:20.316371,0:12:40.897645,0:13:00.401658,0:13:21.018066,0:13:40.502604,0:14:00.562457,0:14:20.518524,0:14:40.046269,0:15:00.721062,0:15:20.202251,0:15:40.862206,0:16:00.297343,0:16:20.519244,0:16:40.307184
-1315.2486930543175,-1676.9230260259292,-1245.8535659029396,-1612.7918460494516,-1743.4892929686087,-1463.2754172743516,-1350.706859502615,-1323.8332131091815,-1173.3324491328224,-1094.1251578836084,-1492.6374404137327,-1496.44710184505,-1246.6735666511,-819.2104287831914,-1002.1219918056618,-497.600738187209,-655.7910408923047,-499.71274868234644,-383.3776420949365,-567.1020197119958,-377.22836581558005,-136.0964988957518,-129.22525447114043,-347.79729410505996,-124.28011958914183,-127.68797659530345,-3.564064882445746,-118.3680659030777,-121.64174908568623,-247.03391614911862,-234.07665940959666,-240.70102677628458,-337.9819050867081,-240.50210380118182,-244.3054496541535,-245.05779402987193,-124.5087513129856,-289.57654300822827,-1.8760875397102341,-125.5189403061955,-254.05175920939047,-118.39747467115414,-116.48407025934296,-290.9815594702813,-2.6759906204888355,-2.084813286186906,-238.751641693783,-7.2274947196468,-244.71133325424734,-245.30983456074588
0:00:20.049105,0:00:40.245597,0:00:59.772091,0:01:20.343130,0:01:39.890831,0:02:00.626106,0:02:20.238329,0:02:40.786305,0:03:00.350733,0:03:20.299862,0:03:40.457310,0:04:00.147840,0:04:20.772656,0:04:40.256502,0:05:00.896502,0:05:20.426363,0:05:41.221035,0:06:00.856018,0:06:20.971897,0:06:41.294462,0:07:01.655902,0:07:22.217201,0:07:41.841926,0:08:02.702928,0:08:22.349965,0:08:43.198681,0:09:02.915955,0:09:23.759940,0:09:43.182199,0:10:03.588800,0:10:23.423628,0:10:43.068257,0:11:03.540794,0:11:23.073684,0:11:43.609078,0:12:03.086926,0:12:23.690358,0:12:43.211597,0:13:03.438591,0:13:23.361622,0:13:42.937617,0:14:03.533958,0:14:23.132555,0:14:43.748522,0:15:03.185736,0:15:23.793361,0:15:43.302420,0:16:03.457396,0:16:23.519709,0:16:42.881580
-1626.9214864207836,-1217.575394886925,-1452.1472733830906,-1689.740392121035,-1187.8758234350946,-1740.6870479383138,-1080.2279556732494,-908.7869584472194,-1029.8033996408537,-1491.7521640045463,-1173.8577988996542,-1.1928350744868481,-386.02188960421296,-263.0109694332136,-279.6255630099177,-267.9629493638596,-3.5468091462267006,-126.86679427123603,-127.79783806903215,-126.67518342977363,-250.64729830369185,-129.31432833583042,-131.6150441683867,-244.9335002168119,-2.11165353871185,-247.45335915406372,-247.04863716016828,-126.85306535813233,-225.85495177189918,-124.4263780410905,-233.07290018623968,-247.1168131236812,-356.8636625844228,-133.85304716011274,-118.13330004992527,-125.69073949688878,-242.69903633620095,-115.31525132100803,-126.2412942638269,-125.97186953051275,-125.54093816394867,-230.24990285611398,-1.8535522101749375,-235.62384308834504,-1512.0452249720195,-125.19813507071767,-126.12408429271453,-246.54936272011835,-123.62144305770195,-125.34218999250415
0:00:20.624477,0:00:40.210211,0:01:00.867525,0:01:20.525555,0:01:41.139425,0:02:00.615368,0:02:20.769340,0:02:40.796325,0:03:00.618408,0:03:21.289694,0:03:40.849197,0:04:01.494691,0:04:20.998674,0:04:41.644058,0:05:01.179420,0:05:21.525733,0:05:41.410707,0:06:01.234863,0:06:21.548844,0:06:40.990817,0:07:01.648633,0:07:21.115566,0:07:41.759505,0:08:01.359351,0:08:21.729686,0:08:42.804962,0:09:04.978199,0:09:25.879791,0:09:47.790051,0:10:08.743250,0:10:30.797275,0:10:51.944339,0:11:13.833154,0:11:35.259672,0:11:56.918973,0:12:19.110704,0:12:40.148584,0:13:01.012358,0:13:20.609411,0:13:40.711270,0:14:00.857225,0:14:20.341686,0:14:40.880633,0:15:00.397373,0:15:21.002662,0:15:40.463772,0:16:00.848611,0:16:20.390631,0:16:40.267955,0:17:00.468733
-1238.783042043706,-1473.784817918595,-1729.6076671438866,-1490.076229150745,-1479.7832621136931,-1045.9269159641349,-1498.364092389936,-1565.589464782205,-1157.7786141038885,-1502.9453417423906,-909.5013532886433,-1232.97301038727,-534.4039689355917,-8.006988469058783,-255.04822131033495,-514.6651174748807,-257.57003214106936,-260.44068137360455,-253.28936132812473,-1.1575332161744347,-1.0500733204595813,-379.1832407102413,-123.30169538630793,-268.60041183546934,-3.181201867053689,-131.27930542494025,-130.44787012164068,-125.63263220006782,-133.6695890052076,-231.57851178643025,-133.72479246471337,-131.6262793499906,-253.7919935116547,-124.12348494497718,-134.93321603183,-399.8931014173641,-124.77226023693265,-128.1256959006136,-118.03981864931436,-226.9377801265188,-123.01943515528413,-124.18014693920742,-129.11432753506406,-130.06413332220203,-121.40309648655838,-124.07589086624087,-118.7322306791906,-247.26294471185471,-121.75859235468756,-2.1202214107448984
0:00:19.684284,0:00:40.388541,0:00:59.897053,0:01:20.497931,0:01:40.021133,0:02:00.693753,0:02:20.304741,0:02:40.318084,0:03:00.290380,0:03:19.819720,0:03:40.431411,0:03:59.914438,0:04:20.549249,0:04:40.056869,0:05:00.714711,0:05:20.217102,0:05:40.248299,0:06:00.290720,0:06:19.927711,0:06:40.587216,0:07:00.099664,0:07:20.763954,0:07:40.262236,0:08:00.833893,0:08:20.295995,0:08:40.360581,0:09:00.372028,0:09:19.813591,0:09:40.640825,0:10:00.426149,0:10:21.496154,0:10:41.039741,0:11:01.614240,0:11:21.075372,0:11:41.303781,0:12:01.169630,0:12:20.873996,0:12:41.298628,0:13:00.827646,0:13:21.459930,0:13:40.922086,0:14:01.459337,0:14:20.982048,0:14:41.091124,0:15:00.915939,0:15:20.500395,0:15:40.984102,0:16:00.347151,0:16:21.116355,0:16:40.836362
-1480.628270688703,-763.7516276693434,-1703.2804857689957,-1268.1241372396366,-1320.5682461301412,-1483.8213418691096,-1515.9400625955964,-1235.5676687598739,-1294.1629687079933,-1143.6515461458594,-779.7277408232103,-773.614606400046,-784.898162899513,-972.4109969997921,-1056.6761576087617,-259.5933401227314,-877.6933694486322,-251.97145509302882,-391.27752119180997,-124.26571267134922,-122.52657201063597,-1.9023024145268206,-125.00752451425241,-131.24014996170206,-256.21903730088,-237.7022151686558,-128.99696618797435,-130.09596906975978,-118.09025576733765,-234.4195827626253,-124.2010829684507,-122.00852725993441,-3.147015700186178,-119.88133405660375,-255.25150657643297,-353.05271605295536,-129.43857200853114,-315.4716609323346,-257.9150935490799,-3.0340794072650623,-2.7100823789119706,-123.03757270426735,-242.74716718289812,-123.20876426666884,-120.73641960593159,-328.0421949850652,-121.80754618857631,-232.08652628197748,-124.76417819064737,-372.54933669280575
0:00:20.792845,0:00:40.372106,0:01:00.667217,0:01:20.496465,0:01:40.323225,0:02:00.706739,0:02:20.196697,0:02:40.916603,0:03:00.485491,0:03:21.106656,0:03:40.683778,0:04:00.984893,0:04:20.727671,0:04:40.570197,0:05:00.862840,0:05:20.317062,0:05:40.917556,0:06:00.448561,0:06:20.954376,0:06:40.442633,0:07:00.697002,0:07:20.566779,0:07:40.160957,0:08:00.663907,0:08:20.106054,0:08:40.590479,0:08:59.932313,0:09:20.431151,0:09:39.934820,0:10:00.101180,0:10:20.049904,0:10:39.348938,0:10:59.782664,0:11:19.212855,0:11:39.760568,0:11:59.184145,0:12:19.333672,0:12:39.106198,0:12:58.654209,0:13:19.044054,0:13:38.537216,0:13:59.040814,0:14:18.408807,0:14:39.034028,0:14:58.492002,0:15:18.320249,0:15:38.422374,0:15:57.787155,0:16:18.300189,0:16:37.753304
